,País,Region,Location,Magnitud,Clasificación,Daños Económicos,Fecha
78,Philippines,Asia,"Region III (Central Luzon) province (Pampanga district (Lubao, Floridablanca, Minalin areas), Bulacan district (Meycauayan area), Nueva Ecija district (Mariveles, Bataan, Malolos City, Carranglan areas), Zambales district (Olongapo area), Tarlac, Bataan districts), Region IV-A (Calabarzon) province (Rizal district (Teresa, Binangonan areas), Cavite district (Imus, Bacoor, Kawit, Noveleta, Tanza areas), Quezon district (Sariaya area), Laguna district), Region IV province (Mindoro Occidental district), National Capital region (NCR) province (Metropolitan Manila district (Las Pinas, Caloocan, Valenzuela, Navotas, Malabon areas)), Region I (Ilocos region) province (Pagasinan district), Cordillera Administrative region (CAR) province (Mountain Province district (Bontoc, Sagada areas), Benguet district (Tuba area), Abra district)",50412.4,Hydrological,2190000.0,2013-08-13
79,Pakistan,Asia,"Bolan District, Jaffarabad District, Jhal Magsi District, Kalat District, Kech District, Khuzdar District, Lasbela District, Loralai District, Mastung District, Nasirabad District, Quetta District, Sibi District districts (Balochistan province), Chitral District (North-West Frontier province), Bahawalpur District, Chakwal District, Dera Ghazi Khan District, Gujranwala District, Jhang District, Kasur District, Khanewal District, Layyah District, Mandi Bahauddin District, Mianwali District, Muzaffargarh District, Narowal District, Rahim Yar Khan District, Rajanpur District, Sahiwal District, Sheikhupura District, Sialkot District, Toba Tek Singh District, Vehari District districts (Punjab province), Dadu District, Ghotki District, Hyderabad District, Jacobabad District, Khairpur District, Larkana District, Mirpur Khas District, Naushahro Feroze District, Nawabshah District, Shikarpur District, Sukkur District districts (Sindh province)",462763.09,Hydrological,1500000.0,2013-08-07
80,United States of America,Americas,"Missouri, Kansas, Tennessee, Arkansas, Oklahoma provinces",123143.44,Hydrological,25000.0,2013-08-05
81,Russian Federation,Europe,"Zeya district (Amurskaya Oblast province) ; Yevreyskaya A. Oblast, Khabarovskiy Kray province",102479.27,Hydrological,1000000.0,2013-08-01
82,Sudan,Africa,"Khartoum, Southern Darfur, Northern Darfur, Nile, Blue Nile, Southern Kordofan, Al Jazeera, Sennar, White Nile, Kassala, Northern Kordofan, Gadaref, Northern; Red Sea provinces",645399.78,Hydrological,7000.0,2013-08-01
83,United States of America,Americas,"San Antonio town (Bexar district, Texas province)",33907.85,Hydrological,2000.0,2013-05-25
84,United States of America,Americas,"Iowa, Michigan, Minnesota, Wisconsin provinces",493136.77,Hydrological,325000.0,2013-04-22
85,Romania,Europe,"Galati, Braila, Tulcea provinces",7171.0,Hydrological,11000.0,2013-09-11
86,United States of America,Americas,"Lafayette, Lyons, Longmont towns (Boulder district, Colorado province), Larimer, El Paso, Broomfield districts (Colorado province), New Mexico province",100404.0,Hydrological,1900000.0,2013-09-12
87,Cambodia,Asia,"Battambang, Banteay Meanchey, Kampong Cham, Prey Veng, Kandal, Siem Reap, Kratie, Kampong Thom, Otdar Meanchey, Stung Treng, Pursat, Kampong Chhnang, Ratanak Kiri, Preah Vihear, Svay Rieng, Phnom Penh, Takeo, Pailin, Kampot provinces",52283.0,Hydrological,500000.0,2013-09-24
88,Thailand,Asia,"Ang Thong, Chachoengsao, Chainat, Chanthaburi, Chian Rai, Nahkon Nayok, Nakhon Ratchasima, Nakhon Sawan, Pathum Thani, Prachinburi, Phangnga, Phetchaburi, Phichit, Phitsanulok, Phra Nakhon Si Ayudhya, Prachuap Khilikhan, Sa Kaeo, Sakon Nakhon, Si Saket, Surin, Tak, Ubon Ratchathani provinces",312091.0,Hydrological,482000.0,2013-09-30
89,Italy,Europe,"Olbia, Arzachena cities (Sassari district, Sardegna province)",15699.0,Hydrological,780000.0,2013-11-18
90,Viet Nam,Asia,"Quang Ngai, Binh Dinh, Quang Nam, Da Nang City, Phu Yen, Gia Lai, Kon Tum provinces",48985.0,Hydrological,72000.0,2013-11-14
91,Saint Vincent and the Grenadines,Americas,"Pembroke, Vermont, Buccament Bay villages (Saint Andrew province), Spring Village village (Saint Patrick province), Sandy Bay, Byera, Orange Hill villages (Charlotte province), Kingstown town (Saint George province), Saint David province",830.23,Hydrological,108000.0,2013-12-23
92,Malaysia,Asia,"Kuala Lumpur, Pahang, Terengganu, Johor, Kelantan provinces",106697.53,Hydrological,2000.0,2013-12-01
93,Indonesia,Asia,Kota Tebingtinggi district (Sumatera Utara province),22524.63,Hydrological,2000.0,2013-12-28
94,United Kingdom of Great Britain and Northern Ireland,Europe,"Oxford city (Oxfordshire district), Devon city (Devonshire district) (England province) ; Wales, Scotland provinces",126149.79,Hydrological,1500000.0,2013-12-27
95,Indonesia,Asia,"Tangerang district (Banten province), Dki Jakarta province",35769.22,Hydrological,600000.0,2014-01-08
96,Burundi,Africa,"Kinyinya, Kijaga villages (Mutumbuzi district, Bujumbura Rural province), Kamenge, Kinama, Buterere, Ngagara, Kanyosha districts (Bujumbura Mairie province)",3237.42,Hydrological,2000.0,2014-02-19
97,Solomon Islands,Oceania,"Honiara, Guadalcanal, Makira, Malaita, Isabel Islands areas",5480.75,Hydrological,24000.0,2014-04-01
98,South Africa,Africa,"Gauteng, KwaZulu-Natal, Limpopo, Mpumalanga, North West provinces",1037639.2,Hydrological,85000.0,2014-03-01
99,Iran (Islamic Republic of),Asia,"Khorasan, Mazandaran, Semnan, Golestan provinces",305525.0,Hydrological,49000.0,2014-06-01
100,Afghanistan,Asia,Guzargah-e-Nur district (Baghlan province),44203.0,Hydrological,3000.0,2014-06-03
101,Russian Federation,Europe,"Altayskiy Kray, Altay Rep., Tyva Rep., Khakasiya Rep., Adygeya Rep. provinces",1829701.0,Hydrological,8000.0,2014-05-29
102,Bulgaria,Europe,"Varna, Dobrich, Velkiko Tarnovo, Burgas, Montana, Kustendil, Plovdiv, Haskovo, Jambol, Sofia, Sofia-city provinces",24415.0,Hydrological,377000.0,2014-06-19
103,India,Asia,Assam province,49220.0,Hydrological,2000.0,2014-06-26
104,Philippines,Asia,"Maguindanao, Shariff Kabunsuan districts (ARMM province)",15356.0,Hydrological,791.0,2014-06-13
105,Italy,Europe,"Senigallia, Chiaravalle towns (Ancona district, Marche province)",11256.0,Hydrological,120000.0,2014-05-02
106,China,Asia,"Fujian Sheng, Jiangxi Sheng, Hunan Sheng, Guangdong Sheng, Sichuan Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng provinces",387775.13,Hydrological,487000.0,2014-08-11
107,Pakistan,Asia,"Sialkot, Narowal, Lahore, Gujranwala, Mandi Bahauddin, Gujrat, Hafizabad, Jhelum, Jhang, Sargodha, Okara, Attock districts (Punjab province), Jammu and Kashmir provinces",253686.0,Hydrological,2000000.0,2014-09-01
108,China,Asia,"Sichuan Sheng, Guizhou Sheng, Chongqing Shi provinces",55272.31,Hydrological,570000.0,2014-09-01
109,Thailand,Asia,"Sukhothai, Phra Nakhon Si Ayudhya provinces",334449.25,Hydrological,10000.0,2014-09-01
110,Bulgaria,Europe,"Burgas, Primorsko districts (Burgas province), Lovetch district (Lovetch province), Harmanli, Simeongrad, Dimitrovgrad districts (Haskovo province) Radnevo, Galabovo districts (Stara Zagora province), Mizija district (Vratca province)",7804.0,Hydrological,10000.0,2014-09-04
111,India,Asia,"Tura village (West Garo Hills district, Meghalaya province), Goalpara, Kamrup districts (Assam province)",61894.97,Hydrological,163000.0,2014-09-24
112,France,Europe,"Argeles city (Pyrénées-Orientales district, Languedoc-Rousillon province); Pyrénées-Orientales, Aude, Gar districts (Languedoc-Rousillon province), Var district (Provence-Alpes-Cote-d'Azur province)",123269.0,Hydrological,303000.0,2014-11-29
113,Colombia,Americas,Choco province,406009.0,Hydrological,8000.0,2014-11-01
114,Malawi,Africa,"Nsanje, Chikwawa, Phalombe, Blantyre, Zomba, Thyolo, Mulanje, Chiradzulu, Machinga, Mangochi, Balaka districts (Southern Region province), Ntcheu, Salima, Lilongwe districts (Central Region province), Karonga, Rumphi districts (Northern Region province)",485939.4,Hydrological,390000.0,2015-01-01
115,Chile,Americas,"Atacama, Antofagasta, Coquimbo provinces",154773.2,Hydrological,1500000.0,2015-03-25
